1. Project name,2. Geography,3. UN Goal,4. Type of giving,5. Total Budget,6. Amount funded,7. Amount still to be funded,8. Distribution type,9. Start date,10. End date,11. Our contribution to this project,12. Funding status,13. Partnerships sponsor(s),14. Partnerships project manager,15. Partnerships consultant,16. Results objectives (KPI),17. Latest review SWOT Strength,18. Latest review SWOT Weaknesses,19. Latest review SWOT Opportunity,20. Latest review SWOT Threat,21. Latest review comments,22. Satisfaction Ranking overall,23. Satisfaction Ranking overall Strat,24. Satisfaction Ranking overall partners,25. Satisfaction Ranking overall organisation & processes,26. Satisfaction Ranking overall communication,27. Satisfaction comments,28. Other comments,29. Author,30. Date of last update,31. Contact details,32. Description,Date Choice,Date Choice end
Climate Resilience Roadmap [x],"Continent: Africa, Country: Democratic Republic of the Congo (16%), Kenya (42%), Rwanda (22%), Uganda (20%). City: Multiple cities across these countries.",GOAL 13. Climate Action,Corporate Social Responsibility (CSR),5.10 million EUR [x],1.68 million EUR [x],3.42 million EUR [x],Scheduled,January 2023 [x],December 2027,35%,Open,Root Capital [x],Dr. Samuel Okoth,Green Horizons Consulting,"Increase in local farmers' resilience to climate change by 40%, reduction in carbon footprint in agricultural practices by 30%.",Strong local partnerships and community engagement,Dependency on unstable regional political climates,Expansion of the program to other countries and regions,Potential funding deficits due to fluctuating currency rates,The project has made significant strides but needs to secure additional funding to ensure future stability and expansion.,8/10,9/10,7/10,8/10,7/10,Partners express high satisfaction with strategic direction but desire improvements in communication frequency and methods.,Consider exploring additional funding avenues and enhancing digital tools for better project management.,Emily Thompson,2024-06-25,climate_roadmap@rootcapital.org,"The IKEA Foundation is supporting Root Capital to provide small agri-businesses in East Africa with finance and business management skills to help them adapt to climate change. These businesses collaborate on climate resilient farming with smallholder farmers, strengthening resilience throughout the supply chain.",2023-01-01,2025-08-01
Economic inclusion as a pathway to self-reliance [x],,GOAL 8. Decent Work and Economic Growth,3. Corporate Social Responsibility (CSR),"$2,000,000 USD [x]","$1,500,000 USD [x]","$500,000 USD [x]",Scheduled,January 2023 [x],December 2025,75%,Open,"Norwegian Refugee Council (45%), IKEA Foundation (55%) [x]",Anna Mwangi,Global Development Consulting Ltd.,Increase employment rates among refugees by 30% by the end of 2025,Strong partnership with experienced humanitarian organizations,Dependency on continuous funding,Expansion of program to other regions with high refugee populations,Political instability in the region,The project is progressing well with significant impacts on local communities. More focus needed on sustainable practices.,8/10,7/10,9/10,8/10,7/10,"Partners are satisfied with the communication and management, though some delays in fund disbursement were noted.",Consider exploring additional funding sources to ensure project sustainability.,Michael Johnson,2024-06-25,anna.mwangi@nrc.org,"The IKEA Foundation and the Norwegian Refugee Council are partnering to help forcibly displaced people and their host communities in Kenya and South Sudan to improve their livelihoods and self-reliance, while gathering evidence of what works.",2023-01-01,2024-02-01
[x] Scaling Standardized Climate and Sustainability Reporting,"Continent: Global, Country: Multiple, City: Multiple",GOAL 13. Climate Action,4. Community Investing,"[x] $2,330,000 USD","[x] $1,740,000 USD","[x] $590,000 USD",Scheduled,"[x] December 1, 2022","December 1, 2025",75%,Open,[x] IFRS Foundation,John Smith,Green Horizons Consulting,Increase standardized climate and sustainability reporting adoption by 50% in target countries.,Strong partnership with globally recognized organizations.,Dependency on regulatory changes in multiple countries.,Potential to influence global policy on sustainability reporting.,Varied acceptance and implementation across different regions.,"""Progress is on track, though some regions require more focused strategies.""",8/10,7/10,9/10,8/10,7/10,"""Overall satisfaction is high, with some areas for improvement in strategic alignment and communication.""","""Continued monitoring needed to ensure adaptability to changing global regulations.""",Emily Johnson,"June 20, 2024",projectinfo@ikeafoundation.org,The IKEA Foundation supports the work of the IFRS Foundation’s International Sustainability Standards Board to develop global standards for companies’ disclosure of sustainability-related risks and opportunities to help investors make informed decisions.,2022-12-01,2024-05-01
Powering Health [x],Continent: Asia; Country: India; City: Not specified (generate - Bangalore),GOAL 7. Affordable and Clean Energy,Corporate Social Responsibility (CSR),"$48,000,000 USD [x]","$19,800,000 USD [x]","$28,200,000 USD [x]",Scheduled,December 2022 [x],December 2027,40%,Open,SELCO Foundation [x],Anand Kumar,Green Energy Solutions,Increase access to clean energy in rural healthcare facilities by 50% by the end of the project.,Strong partnership with experienced local organization,Dependency on local infrastructure development,Potential to scale the project nationally,Regulatory changes affecting renewable energy investments,"Project is on track, but monitoring of local governmental policies is advised.",85%,88%,90%,82%,80%,"Overall satisfaction is high, communication needs slight improvement.",Consider additional funding options to ensure project sustainability.,Dr. Amita Singh,"June 25, 2024",poweringhealth@selcofoundation.org,"The IKEA Foundation is supporting SELCO to integrate sustainable energy solutions, efficient equipment and energy design elements into 25,000 health care facilities across India by 2026.",2022-12-01,2024-11-01
,"Continent: Africa, Country: Uganda, City: Kampala",GOAL 3. Good Health and Well-being,Traditional Philanthropy,"1,000,000 USD [x]","1,000,000 USD [x]",0 USD [x],Per project,"December 1, 2022 [x]","December 1, 2023",100%,Closed,Médecins Sans Frontières (MSF) 100% [x],Dr. Sarah Nalubega,Global Health Advisory,Reduction in Ebola cases by 50% within the first six months,Strong partnership with local healthcare providers,Limited access to remote areas,Expand health education and awareness,Potential resurgence of the Ebola virus,Significant progress in containment and treatment observed,8/10,8/10,9/10,7/10,7/10,Partners express high satisfaction with the collaborative efforts,Continued monitoring necessary to prevent future outbreaks,Emily Roberts,"June 25, 2024",info@globalhealthadvisory.com,The IKEA Foundation provided an exceptional donation to the Médicins Sans Frontières emergency fund for their operations to prevent increased Ebola incidence across Uganda.,2022-12-01,2025-12-01
Donation: Uganda Ebola emergency support [x],"Continent: Africa, Country: Uganda, City: not specified (generate: Kampala)",GOAL 3. Good Health and Well-being,Traditional Philanthropy,"1,000,000 USD [x] (converted from 1M€)","1,000,000 USD [x] (converted from 1M€)",0 USD [x],Per project,December 2022 [x],December 2023 (generated as one year from start date),100% (as the total granted equals the total funded),Closed,Médecins Sans Frontières (MSF) with 100% contribution [x],Dr. Sarah Nalubega,Global Health Consulting Ltd.,Reduction in Ebola cases by 50% within the project duration.,Strong partnership with experienced organization (MSF).,Limited local healthcare infrastructure.,Improvement in local healthcare practices and emergency response.,Ongoing risk of Ebola spread in neighboring regions.,Project is on track with significant progress in disease control and community education.,8/10,8/10,9/10,7/10,8/10,Partners express satisfaction with the transparency and responsiveness of project management.,Continued monitoring and support needed to sustain the impact post-project completion.,John K. Smith,2024-06-25,info@globalhealthconsulting.com,The IKEA Foundation provided an exceptional donation to the Médicins Sans Frontières emergency fund for their operations to prevent increased Ebola incidence across Uganda.,2022-12-01,2024-06-01
Sustainable Market Inclusive Livelihood Pathways [x],"Continent: Africa, Country: Kenya, City: Nairobi",GOAL 8. Decent Work and Economic Growth,Corporate Social Responsibility (CSR),"$27,500,000 USD [x]","$10,600,000 USD [x]","$16,900,000 USD [x]",Per project,November 2022 [x],November 2027,38%,Open,"IKEA Foundation 62%, AVSI Foundation 38% [x]",Josephine Wambui,Global Impact Advisors,Increase employment rates by 40% in target communities,Strong partnership with local communities and organizations,Limited infrastructure in rural areas,Expansion of project scope to neighboring countries,Political instability in the region,Project is progressing well with active community participation.,8/10,7/10,9/10,8/10,7/10,Partners and stakeholders are highly engaged and committed to the project's success.,Consider additional funding or resources to address infrastructure challenges.,Michael Thompson,2024-06-25,info@globalimpactadvisors.org,"AVSI Foundation and the IKEA Foundation work with refugees and host-community households in the Kyangwali and the Kyaka II Refugee Settlements in Uganda, delivering sustainable livelihoods through two simultaneous strategies: an ongoing individual-upliftment graduation model integrated with a market system development approach. Through these two approaches, the goal is to improve the livelihoods and self-resilience of participating residents.",2022-11-01,2026-03-01
Clean Air Fund [x],Continent: Europe; Country: Global Program primarily in urban areas; City: Multiple major cities [x],GOAL 13. Climate Action,Corporate Social Responsibility (CSR),"$38,550,000 USD [x]","$5,000,000 USD [x]","$33,550,000 USD [x]",Scheduled,November 2022 [x],November 2027,15%,Open,IKEA Foundation (100%) [x],Johnathan Reed,Green Horizons Consulting,Reduction of air pollution in urban areas by 30% by 2027.,Strong partnership with global influence.,Dependency on continued funding for sustained impact.,Expansion to additional cities and countries.,Regulatory changes that could affect project operations.,"Project is on track, but needs to explore more stable funding sources.",8/10,8/10,9/10,7/10,7/10,"Partners are satisfied with the progress, though there are areas needing improvement in organizational processes.",Need to ensure that the project is adaptable to changing environmental regulations.,Emily Thompson,2024-06-25,emily.thompson@cleanairfund.org,The IKEA Foundation is partnering with the Clean Air Fund to improve the health of children and adults by tackling air pollution and accelerating climate action.,2022-11-01,2027-10-01
Displaced Livelihoods Initiative [x],Continent - Global; Country - Multiple; City - Multiple,GOAL 1. No Poverty,1. Traditional Philanthropy,"$11,000,000 USD [x]","$2,670,000 USD [x]","$8,330,000 USD [x]",Scheduled,November 2022 [x],November 2027,24%,Open,Innovations for Poverty Action [x],Emily Roberts,Global Development Associates,Increase employment opportunities for displaced individuals by 40% over five years,Strong partnership with experienced organizations,High dependency on continuous funding,Expansion to other regions with similar needs,Political instability in target regions,Project is on track but needs more active fundraising to meet the set targets,8/10,7/10,9/10,8/10,8/10,"Partners are satisfied with the progress, though some concerns about future financing",Consider potential partnership expansions to increase funding and impact,Jonathan Clark,2024-06-25,info@displacedlivelihoods.org,The IKEA Foundation is supporting Innovations for Poverty Action (IPA) and the Abdul Latif Jameel Poverty Action Lab (J-PAL) to create the world’s first dedicated research fund that will generate evidence on livelihoods interventions for displaced populations.,2022-11-01,2027-01-01
From Waste to Work [x],"Continent: Africa, Country: Kenya, City: Nairobi",GOAL 11. Sustainable Cities and Communities,Corporate Social Responsibility (CSR),"$4,000,000 USD [x]","$2,150,000 USD [x]","$1,850,000 USD [x]",Per project,November 2022 [x],November 2025,15%,Open,VSO Nederland (100%) [x],Michael Omondi,Green Innovations Ltd.,"Reduce waste in Nairobi by 30%, create 500 new jobs in the recycling sector by 2025",Strong community engagement and support,Regulatory hurdles,Potential for scaling the project to other cities,Market fluctuations in the recycling industry,"The project is progressing well with strong local support, but facing some bureaucratic challenges.",8/10,7/10,9/10,8/10,7/10,"Partners are satisfied with the progress, though communication can be improved.",More support from local authorities could expedite processes.,John Kamau,2024-06-01,info@fromwastetowork.org,"In Kenya, a large amount of waste that could be recycled goes to landfills, where it emits high levels of methane. Young waste entrepreneurs are working to address this problem but lack skills, finance and access to fair markets for their products. Waste to Work addreseses these challenges and supports these entrepreneurs to grow their enterprises, link them with large recyclers and increase the amount of waste they collect and recycle.",2022-11-01,2027-02-01
Refugee-led Research Hub Nairobi [x],"Continent - Africa, Country - Kenya, City - Nairobi",GOAL 4. Quality Education,4. Community Investing,$1.05 million [x],$1.05 million [x],$0 [x],Per project,November 2022 [x],November 2025,100%,Closed,University of Oxford [x],Dr. Jane Goodall,Global Partnerships Solutions Ltd.,Increase access to quality education for 500 refugees by 2025,Strong partnership with the University of Oxford,Limited resources for expansion beyond initial scope,Potential to replicate model in other refugee camps,Political instability in the region,"Project is on track to meet initial objectives, with good organizational support.",8/10,9/10,7/10,8/10,7/10,"Highly satisfactory partnership and project management, though communication with stakeholders needs improvement.",Consider exploring additional funding to expand the project's reach.,Emily Thompson,2024-06-25,info@refugeeresearchhub.org,The partnership between the University of Oxford and the IKEA Foundation supports East African researchers with lived experiences of displacement to become leaders in the field of refugee and forced migration studies.,2022-11-01,2024-09-01
[x] Self-reliance and resilience for refugees and host communities.,"Continent: Africa, Country: Uganda, City: Kampala.",GOAL 16. Peace and Justice Strong Institutions.,3. Corporate Social Responsibility (CSR).,"[x] $3,000,000 USD.","[x] $970,000 USD.","[x] $2,030,000 USD.",Per project.,[x] November 2022.,November 2025.,40%.,Open.,"[x] UNHCR, the UN Refugee Agency (60%).",James Okello.,Global Development Consulting Inc.,Increase in self-reliance skills among 70% of the refugee population.,Strong local community engagement.,Limited resources to scale the initiatives.,Potential for expansion into other regions.,Political instability in the region.,The project is progressing well with significant community involvement.,8/10.,8/10.,7/10.,7/10.,9/10.,"Overall positive feedback, with suggestions for more frequent updates.",Needs assessment for further funding options is recommended.,Dr. Susan Mwangi.,"June 10, 2024.",smwangi@globaldevconsulting.org.,"UNHCR, the UN Refugee Agency, and the IKEA Foundation are working together in Uganda to help people forced to flee and their host communities build sustainable livelihoods and advocate for refugees’ rights to be applied.",2022-11-01,2027-04-01
Scaling Regenerative Black Soldier Fly Farming [x],"Continent: Africa, Countries: Kenya, Rwanda, Uganda, Cities: Nairobi, Kigali, Kampala",GOAL 2. Zero Hunger,5. Venture Philanthropy,$5.10 million USD [x],$2.08 million USD [x],$3.02 million USD [x],Scheduled,"October 1, 2022 [x]","October 1, 2025",45%,Open,"International Centre of Insect Physiology and Ecology (ICIPE) - 60%, IKEA Foundation - 40% [x]",Dr. James Kamau,Global Agri-Consultants LLC,Increase black soldier fly production by 75% over three years,Innovative approach to sustainable farming,Dependency on specific climate conditions,Expansion into other markets and regions,Potential regulatory changes affecting insect farming,"Project shows promising early results, careful monitoring of environmental factors recommended.",8/10,7/10,9/10,8/10,7/10,Partners express strong support but recommend more frequent communication updates.,Consider exploring additional funding sources to secure project sustainability.,Sarah Thompson,2024-06-25,info@icipe.org,"ICIPE and the IKEA Foundation are scaling up two insect-based farming methods to help smallholder farmers in Kenya, Uganda and Rwanda improve both their health and livelihoods, while avoiding fertilisers and pesticides that harm the planet.",2022-10-01,2024-11-01
"Reduce, Reuse, Recycle Rice Initiative for Climate Action [x]","Continent: Africa, Countries: Kenya and Uganda, Cities: Not specified - plausible cities could be Nairobi, Kenya and Kampala, Uganda.",GOAL 13. Climate Action,Corporate Social Responsibility (CSR),$6 million USD [x],$2 million USD [x],$4 million USD [x],Scheduled,"October 1, 2022 [x]","September 30, 2025",35%,Open,"Kilimo Trust (50%), IKEA Foundation (50%) [x]",Josephine Wawira,Green Growth Global Consultants,"Increase rice recycling rates by 40%, reduce rice waste by 30%, and improve local community climate resilience by 20% within 3 years.",Strong partnership with local organizations and communities.,Dependency on seasonal weather conditions for project success.,Potential to scale the project to other regions and crops.,Political instability that could affect project continuity.,Positive feedback on community engagement and educational components.,8/10,7/10,9/10,8/10,7/10,"Partners are satisfied with the progress, though some communication delays were noted.",Consider expanding educational outreach to other community sectors.,Michael Thompson,"June 25, 2024",info@reduceuserecycle-rice.org,The IKEA Foundation is partnering with Kilimo Trust to support rice farmers in Kenya and Uganda to transition to regenerative rice farming methods that can improve their livelihoods while restoring and protecting the environment.,2022-10-01,2023-08-01
Regen10 [x],Global Programs (100%) [x],GOAL 13. Climate Action,Traditional Philanthropy,$6.01 million [x],$4.27 million [x],$1.74 million [x],Scheduled,September 2022 [x],September 2025,40%,Open,IKEA Foundation [x],Sarah Johnson,GreenSolutions Consulting,Increase in the adoption of regenerative agriculture practices by 25% by the end of the project.,Strong partnership with experienced organizations.,Initial resistance from local communities.,Potential for scaling up and applying learned practices globally.,Changes in regulatory policies.,The project is progressing well with some areas requiring additional focus on community engagement.,4.0 out of 5,4.2 out of 5,4.5 out of 5,3.8 out of 5,3.9 out of 5,Partners express satisfaction with transparency and commitment but suggest more frequent updates.,Need to consider more localized solutions in the next phase.,Emily Thompson,2024-06-25,sarah.johnson@regen10.org,"The IKEA Foundation is partnering with Regen10 to identify what it takes to shift to regenerative approaches, develop a common outcomes framework and speed up the transformation of global food systems, so food is produced in ways that benefit people, nature and the climate.",2022-09-01,2024-08-01
Financial Inclusion Improves Livelihoods Out Of Waste [x],"Continent - Asia, Country - India, City - Mumbai",GOAL 11. Sustainable Cities and Communities,4. Community Investing,$3.56 million USD [x],$1 million USD [x],$2.56 million USD [x],Scheduled,August 2022 [x],August 2025,28%,Open,WASTE (100%) [x],Rajesh Kumar,EcoSolutions Consulting,"Increase recycling rates by 30%, Improve the livelihoods of 500 families, Enhance local waste management infrastructure.",Strong community engagement and local government support.,Limited initial funding impacting project scale.,Potential for scaling up and replication in other cities.,Changes in local government policies may affect project continuation.,"The project has made significant strides in community engagement, but needs more funding to reach its full potential.",7/10,8/10,9/10,7/10,6/10,"Partners are highly satisfied with the collaboration, though improvements in communication are needed.",Consider exploring additional funding avenues to ensure project sustainability.,Anika Sharma,"June 20, 2024",info@ecosolutions.com,The IKEA Foundation is partnering with WASTE to support three cities in India to increase plastic recycling rates while creating sustainable livelihoods for informal waste workers.,2022-08-01,2025-02-01
