URL,Title,Description,Total Granted,Total Paid,Date Granted,Geographic Area,Partner
https://ikeafoundation.org/grants/green-entrepreneurship-accelerator-programme/,Green Entrepreneurship Accelerator Programme,The IKEA Foundation is partnering with TechnoServe to help approximately 400 green small and growing businesses in India become economically sustainable and increase their environmental impact.,"€
                        3.42M€
                            982.51K","€
                            982.51K",August 2022,India (100%),TechnoServe
https://ikeafoundation.org/grants/african-food-fellowship/,African Food Fellowship,"The IKEA Foundation is supporting Wageningen University   Research and Wasafiri to develop the African Food Fellowship. The fellowship will empower local leaders in Kenya and Rwanda to transform food systems, so they are regenerative, circular and inclusive .","€
                        8.80M€
                            2.41M","€
                            2.41M",August 2022,Kenya (50%)Rwanda (50%),Universiteitsfonds Wageningen (UFW)
https://ikeafoundation.org/grants/livelihoods-and-inclusion-for-transformation-in-northern-kenya-lift-northern-kenya/,Livelihoods and Inclusion for Transformation (LIFT) in Northern Kenya,"The Boma Project and the IKEA Foundation are partnering to help people living in poverty in northern Kenya improve their livelihoods by setting up green enterprises that will improve their incomes and protect the environment, including critical forest ecosystems.","€
                        10.17M€
                            4.55M","€
                            4.55M",August 2022,Kenya (100%),BOMA
https://ikeafoundation.org/grants/xpf-programme-building-the-climate-change-and-development-ecosystem-in-africa/,African Climate Foundation,The partnership between the African Climate Foundation and the IKEA Foundation supports an African-led climate development pathway that reduces and avoids emissions while helping communities to increase their resilience.,"€
                        2.44M€
                            1.58M","€
                            1.58M",August 2022,Africa (100%),African Climate Foundation
https://ikeafoundation.org/grants/gpa-inclusive-evidence-programme/,GPA Inclusive Evidence Programme,The IKEA Foundation is supporting a platform by the UN Institute for Training and Research (UNITAR) to gather evidence on how renewable energy programmes can improve the lives and livelihoods of people who have been forced to flee their homes.,"€
                        534.11K€
                            374.87K","€
                            374.87K",July 2022,Global Programs (100%),UNITAR
https://ikeafoundation.org/grants/diesel-genset-disruption-accelerator/,Diesel genset disruption accelerator,"The IKEA Foundation is supporting the Carbon Trust to design and kick-start its Zero Emission Generators (ZE-Gen) initiative, which aims to replace fossil fuel generators with renewable energy-based alternatives across Africa and Asia Pacific.","€
                        679.95K€
                            679.95K","€
                            679.95K",July 2022,Global Programs (50%)India (25%)Nigeria (25%),Carbon Trust
https://ikeafoundation.org/grants/methane-hub/,Global Methane Hub,"The IKEA Foundation is a part of the Global Methane Hub, a major philanthropic initiative to support nations that have pledged to rapidly reduce their methane emissions.","€
                        19.14M€
                            10.01M","€
                            10.01M",June 2022,Global Programs (100%),Global Methane Hub
https://ikeafoundation.org/grants/xpf-programme-core-support/,XPF Programme,"The IKEA Foundation is supporting the World Benchmarking Alliance to develop benchmarks that compare how the world’s 2,000 most influential companies are contributing to the UN’s sustainable development goals.","€
                        8.50M€
                            2.50M","€
                            2.50M",June 2022,Global Programs (100%),World Benchmarking Alliance
https://ikeafoundation.org/grants/the-global-we-for-action-unleashing-the-power-of-personal-connection-and-conversation-to-create-a-global-we-for-action/,The “Global We” for Climate Action,"The IKEA Foundation is supporting “Global We for Climate Action”, an immersive public engagement experience by the Museum for the United Nations – UN Live, sparking inclusive global climate conversations, bringing together new voices in eye-to-eye conversations with those who are making and influencing decisions. It is a platform to share ideas and inspire new ways of working together to protect the planet.","€
                        1.55M€
                            1.55M","€
                            1.55M",June 2022,Global Programs (100%),"Museum for the United Nations, UN Live"
https://ikeafoundation.org/grants/xpf-programme-core-support/,XPF Programme,"The IKEA Foundation is supporting the World Benchmarking Alliance to develop benchmarks that compare how the world’s 2,000 most influential companies are contributing to the UN’s sustainable development goals.","€
                        8.50M€
                            2.50M","€
                            2.50M",June 2022,Global Programs (100%),World Benchmarking Alliance
https://ikeafoundation.org/grants/the-global-we-for-action-unleashing-the-power-of-personal-connection-and-conversation-to-create-a-global-we-for-action/,The “Global We” for Climate Action,"The IKEA Foundation is supporting “Global We for Climate Action”, an immersive public engagement experience by the Museum for the United Nations – UN Live, sparking inclusive global climate conversations, bringing together new voices in eye-to-eye conversations with those who are making and influencing decisions. It is a platform to share ideas and inspire new ways of working together to protect the planet.","€
                        1.55M€
                            1.55M","€
                            1.55M",June 2022,Global Programs (100%),"Museum for the United Nations, UN Live"
https://ikeafoundation.org/grants/an-odi-ikea-foundation-partnership-knowledge-voices-and-actions-to-empower-and-create-opportunities-for-migrants-refugees-and-people-in-crisis/,"Knowledge, voices and actions to empower and create opportunities for migrants, refugees and people in crisis",The IKEA Foundation is working in partnership with ODI to advocate for changes in policy and public opinion that empower people who’ve been forced to flee to thrive in their new communities.,"€
                        1.64M€
                            822.51K","€
                            822.51K",May 2022,Global Programs (100%),Overseas Development Institute (ODI)
https://ikeafoundation.org/grants/efficiency-for-access-coaltion/,Efficiency for Access Coaltion,"The Efficiency for Access Coalition helps people living in East Africa and India to improve the productivity of their livelihoods and reduce emissions by providing access to energy-efficient solar appliances, such as fridges and water pumps. The IKEA Foundation is one of the founding members of the Efficiency for Access Coalition.","€
                        16.13M€
                            3.17M","€
                            3.17M",May 2022,Ethiopia (15%)India (15%)Kenya (20%)Rwanda (20%)Tanzania (15%)Uganda (15%),CLASP
https://ikeafoundation.org/grants/pioneer-energy-investment-initiative-powering-livelihoods-using-solar-peii/,Pioneer Energy Investment Initiative (PEII+),"The partnership between Acumen and IKEA Foundation invests in companies that supply affordable solar-powered appliances to support communities living in poverty who don’t have access to reliable, modern and sustainable energy to help them increase their incomes and climate resilience.","€
                        14.07M€
                            4.17M","€
                            4.17M",May 2022,Eastern Africa (33%)India (34%)Western Africa (33%),Acumen
https://ikeafoundation.org/grants/raising-global-ambition-on-just-transition-and-climate-justice/,Raising global ambition on just transitions and climate justice,The IKEA Foundation is supporting the Climate Justice Resilience Fund (CJRF) in its efforts to enhance philanthropic engagement on issues around climate justice and just transition.,"€
                        830.25K€
                            868.66K","€
                            868.66K",May 2022,Global Programs (100%),Climate Justice Resilience Fund
https://ikeafoundation.org/grants/the-global-cities-fund-for-inclusive-climate-action-institutional-support-to-the-mayors-migration-council/,The Global Cities Fund for Inclusive Climate Action & institutional support to the Mayors Migration Council,"The IKEA Foundation is partnering with the Mayors Migration Council to support migrants, refugees and displaced people affected by the climate crisis by driving investment and resources to city governments across Africa.","€
                        1.81M€
                            1.54M","€
                            1.54M",May 2022,Global Programs (100%),Mayors Migration Council
https://ikeafoundation.org/grants/letthemwork-improving-refugees-and-forced-migrants-socio-economic-wellbeing/,#LetThemWork,"As part of the #LetThemWork initiative, the Center for Global Development and Refugees International are researching the barriers that refugees and forcibly displaced people face in achieving economic and social inclusion within host countries. The IKEA Foundation is supporting their work to help refugees overcome those barriers and improve their livelihoods.","€
                        1.84M€
                            924.47K","€
                            924.47K",April 2022,Eastern Africa (100%),Center for Global Development
https://ikeafoundation.org/grants/communications-to-save-lives-innovating-models-to-limit-the-spread-and-harm-of-covid-19-worldwide-and-prepare-for-future-public-health-crises/,Communicating to Save Lives,"In response to COVID-19 the IKEA Foundation is supporting Purpose’s work to strengthen the global communications infrastructure and engage vulnerable communities with life-saving public health messages, ensuring that the learnings from this work are captured and can be used in the future if needed.","€
                        3.62M€
                            3.69M","€
                            3.69M",April 2022,Global Programs (100%),Purpose Foundation
https://ikeafoundation.org/grants/regenerative-foodflow-program-a-showcase-building-a-regenerative-food-system/,FoodFlow Programme,"Enviu and the IKEA Foundation are supporting farmers in Kenya to adopt a regenerative food production system that will improve their livelihoods and resilience, while restoring the natural environment.","€
                        2.86M€
                            970.32K","€
                            970.32K",April 2022,Kenya (100%),Enviu Nederland
https://ikeafoundation.org/grants/stage-2-launching-opx/,Launching OPX,The IKEA Foundation and the Oslo Philanthropy Exchange Foundation (OPX) are enabling innovation and efficiency in philanthropic funding. This will help global financing to work as efficiently as possible to benefit people living in poor communities and those affected by displacement.,"€
                        861.79K€
                            1M","€
                            1M",March 2022,Global Programs (100%),Oslo Philanthropy Exchange Foundation
https://ikeafoundation.org/grants/institutional-support-2022-2025/,Global Alliance for the Future of Food,"The IKEA Foundation is part of the Global Alliance for the Future of Food, a strategic alliance of philanthropies who are working together to transform global food systems so that they are equitable, sustainable and healthy for both people and planet.","€
                        1.82M€
                            681.32K","€
                            681.32K",March 2022,Global Programs (100%),Global Alliance for the Future of Food
https://ikeafoundation.org/grants/stage-2-launching-opx/,Launching OPX,The IKEA Foundation and the Oslo Philanthropy Exchange Foundation (OPX) are enabling innovation and efficiency in philanthropic funding. This will help global financing to work as efficiently as possible to benefit people living in poor communities and those affected by displacement.,"€
                        861.79K€
                            1M","€
                            1M",March 2022,Global Programs (100%),Oslo Philanthropy Exchange Foundation
https://ikeafoundation.org/grants/institutional-support-2022-2025/,Global Alliance for the Future of Food,"The IKEA Foundation is part of the Global Alliance for the Future of Food, a strategic alliance of philanthropies who are working together to transform global food systems so that they are equitable, sustainable and healthy for both people and planet.","€
                        1.82M€
                            681.32K","€
                            681.32K",March 2022,Global Programs (100%),Global Alliance for the Future of Food
https://ikeafoundation.org/grants/donation-emergency-response-to-the-people-of-the-ukraine/,Donation: Emergency response to the people of the Ukraine,"The IKEA Foundation provided an exceptional donation to the emergency response by UNHCR, the UN Refugee Agency, to both help people who have been forcibly displaced by the conflict in Ukraine and the surrounding countries.","€
                        20M€
                            20M","€
                            20M",March 2022,Europe (100%),"UNHCR, the UN Refugee Agency"
https://ikeafoundation.org/grants/donation-emergency-fund-ukraine/,Donation: Emergency Fund Ukraine,The IKEA Foundation provided an exceptional donation to the Médicins Sans Frontières emergency fund for their operations to help people in Ukraine and surrounding countries.,"€
                        5M€
                            5M","€
                            5M",March 2022,Europe (100%),Médecins Sans Frontières (MSF)
https://ikeafoundation.org/grants/piloting-work-on-a-just-transition-for-india-to-reach-1-5-ambition/,Piloting work on a just transition in India,"The American Friends of EdelGive’s Just Transition India Programme helps countries move to a net-zero emissions economy in a way that is fair for everyone. The IKEA Foundation is supporting The American Friends of EdelGive because we believe that improving people’s livelihoods and protecting the planet go hand in hand, so that no one is left behind in the transition to net zero.","€
                        3.50M€
                            1.90M","€
                            1.90M",February 2022,India (100%),American Friends of Edelgive Foundation
https://ikeafoundation.org/grants/sustainable-market-inclusive-livelihood-pathways-to-self-reliance-smiles-2/,Sustainable Market Inclusive Livelihood Pathways to Self-Reliance (SMILES) 2,AVSI Foundation and the IKEA Foundation are working in partnership to plan and design an integrated five-year rural refugee livelihood anchor programme in Uganda. The programme will build evidence and contribute towards refugees and host communities achieving economic self-reliance and sustainable livelihoods.,"€
                        1M€
                            1M","€
                            1M",February 2022,Uganda (100%),AVSI Foundation
https://ikeafoundation.org/grants/donation-philippines-typhoon-rai-emergency-response/,Donation: Philippines Typhoon Rai emergency response,"The IKEA Foundation provided an exceptional donation to the Médicins Sans Frontières' emergency fund for their operations to help people in the Philippines recover from Typhoon Rai, which hit the country at the end of 2021.","€
                        500K€
                            500K","€
                            500K",February 2022,Philippines 100%,Médecins Sans Frontières (MSF)
https://ikeafoundation.org/grants/donation-g7-impact-taskforce/,Donation: G7 Impact Taskforce,The G7 Impact Taskforce worked to attract private funding and financial innovation towards investments that benefit people and planet. The IKEA Foundation supported the taskforce to effectively apply large-scale financing to today’s most pressing issues.,"€
                        245.53K€
                            240.75K","€
                            240.75K",February 2022,Global Programs (100%),Global Steering Group for Impact Investment (GSG)
https://ikeafoundation.org/grants/universal-energy-facility/,Universal Energy Facility,"The IKEA Foundation is supporting Sustainable Energy for All (SEforALL) to scale up the Universal Energy Facility, a grant programme designed to rapidly connect families and businesses in Africa to renewable energy.","€
                        5.14M€
                            5.09M","€
                            5.09M",January 2022,Africa (100%),Sustainable Energy for All
https://ikeafoundation.org/grants/regenerative-circular-and-inclusive-radio-programme-east-africa/,"Regenerative, Circular and Inclusive Radio Programme East Africa",The IKEA Foundation is supporting Farm Radio International to build capacity of community radio stations in rural Uganda to share practical information and knowledge about regenerative agriculture with farmers.,"€
                        998.07K€
                            750K","€
                            750K",January 2022,Uganda (100%),Farm Radio International
https://ikeafoundation.org/grants/renewal/,Climate Breakthrough Project,"The Climate Breakthrough Project gives talented climate leaders the time, space and financial support to create and implement bold solutions that radically cut greenhouse gas emissions. This partnership is supporting more climate leaders to scale up their ideas and measure their impact.","€
                        3.11M€
                            3.08M","€
                            3.08M",January 2022,Global Programs (100%),Climate Breakthrough
https://ikeafoundation.org/grants/strengthening-regenerative-agriculture-in-kenya-strak/,Strengthening Regenerative Agriculture in Kenya (STRAK),"The partnership between the IKEA Foundation and AGRA will help smallholder farmers in Kenya diversify the crops they grow, find new income streams and adopt regenerative farming practices that improve soil health.","€
                        3.97M€
                            1.40M","€
                            1.40M",January 2022,Kenya (100%),AGRA
https://ikeafoundation.org/grants/global-energy-alliance-for-people-and-planet/,Global Energy Alliance for People and Planet,"The Global Energy Alliance for People and Planet works in partnership with countries across Africa, Asia, Latin America and the Caribbean to reduce greenhouse gas emissions and enable a sustainable energy future for people who need it most. The IKEA Foundation is an anchor partner because we believe that tackling climate change and energy poverty go hand in hand with sustainable job creation.","€
                        88.21M€
                            88.08M","€
                            88.08M",December 2021,Global Programs (100%),Global Energy Alliance for People and Planet
https://ikeafoundation.org/grants/evidence-for-protection-and-wellbeing-of-people-affected-by-forced-displacement/,Joint Data Center on Forced Displacement,"The Joint Data Center on Forced Displacement has been set up by UNHCR, the UN Refugee Agency and the World Bank to improve data on refugees so that governments and humanitarian organisations can make informed decisions about how best to meet their needs. The IKEA Foundation is supporting the Joint Data Center because we believe it will help refugees have a better everyday life.","€
                        1.06M€
                            1.07M","€
                            1.07M",November 2021,Global Programs (100%),"UNHCR, the UN Refugee Agency"
https://ikeafoundation.org/grants/investment-sized-unconditional-cash-transfers-to-refugees-in-nairobi/,Unconditional cash transfers to refugees in Nairobi,"The IKEA Foundation is supporting GiveDirectly to deliver unconditional cash transfers to 1,000 urban refugees living in Nairobi to enable them to invest in sustainable livelihoods. The transfers will be made via Equity Bank in a pilot programme to test the feasibility of this model.","€
                        945.65K€
                            964.86K","€
                            964.86K",November 2021,Kenya (100%),GiveDirectly
https://ikeafoundation.org/grants/kenya-pure-programme-design/,Kenya PURE programme design,CLASP and the IKEA Foundation are working together to design a programme that will boost the livelihoods and resilience of farmers in Kenya through the productive use of renewable energy (PURE).,"€
                        812.65K€
                            834.21K","€
                            834.21K",November 2021,Kenya (100%),CLASP
https://ikeafoundation.org/grants/create-an-enabling-environment-for-refugee-economic-inclusion-by-improving-the-narrative-around-refugees/,Create an enabling environment for refugee economic inclusion by improving the narrative around refugees,"The IKEA Foundation and UNHCR are working together to enable refugees’ economic inclusion and create a positive narrative surrounding refugees through advocacy, communications and strategic engagement.","€
                        1.49M€
                            1.54M","€
                            1.54M",November 2021,Global Programs (100%),"UNHCR, the UN Refugee Agency"
https://ikeafoundation.org/grants/delivering-resilient-enterprises-and-market-systems-for-refugees-in-ethiopia/,Delivering resilient enterprises and market systems for refugees in Ethiopia,"The IKEA Foundation is partnering with Village Enterprise to support refugees in Ethiopia to set up small businesses and link them with market opportunities. By studying how this solution boosts local economies, it aims to transform how humanitarian organisations support refugees around the world.","€
                        6.53M€
                            676.87K","€
                            676.87K",November 2021,Ethiopia (100%),Village Enterprise
https://ikeafoundation.org/grants/donation-refugee-participation-at-kigali-forum/,Donation: Refugee participation in 2021 Africa Private Sector Forum,"The 2021 Africa Private Sector Forum on Forced Displacement in Kigali, Rwanda, brought together businesses from all over Africa to identify what they can do to support refugees. The IKEA Foundation supported UNHCR with additional funding to bring representatives from refugee communities to engage in the forum.","€
                        17.47K€
                            17.64K","€
                            17.64K",November 2021,Africa (100%),"UNHCR, the UN Refugee Agency"
https://ikeafoundation.org/grants/donations-to-close-gap-on-participant-access-for-cop26/,Donation: Supporting participant access for COP26,The IKEA Foundation supported the United Nations Framework Convention on Climate Change (UNFCCC) to bring eligible delegates from lower income and small island nations to participate in COP26 in person. This was to make sure that countries that are already experiencing the impacts of climate change were represented at the conference and included in decision-making.,"€
                        370K€
                            370K","€
                            370K",November 2021,Global Programs (100%),United Nations Framework Convention on Climate Change (UNFCCC)
